facility_code,facility_name,network_id,network_region,latitude,longitude,unit_code,unit_code_display,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,max_generation,registered_date,expected_closure_date,data_first_seen,data_last_seen
BOLIVAR,Bolivar,NEM,SA1,-34.495482,138.387641,BOWWBA1,BOWWBA1,battery,operating,3,2,5,2.543,,2044-12-31T14:00:00+10:00,2024-09-18T11:25:00+10:00,2026-08-01T16:20:00+10:00
BOLIVAR,Bolivar,NEM,SA1,-34.495482,138.387641,BOWWPV1,BOWWPV1,solar_utility,operating,8.25,6,,6.577,,2044-12-31T14:00:00+10:00,2022-02-23T09:55:00+10:00,2026-08-01T16:20:00+10:00
BOLIVAR,Bolivar,NEM,SA1,-34.495482,138.387641,BOLIVAR1,BOLIVAR1,bioenergy_biogas,operating,9.9,10,,,,2044-12-31T14:00:00Z,,
BOLIVPS,Bolivar,NEM,SA1,-34.7772,138.5826,BOLIVPS1,BOLIVPS1,gas_ocgt,operating,128,127,,129.09,,2044-12-31T14:00:00+10:00,2022-12-10T17:45:00+10:00,2026-08-01T16:20:00+10:00
BOMENSF,Bomen,NEM,NSW1,-35.046577,147.442585,BOMENSF1,BOMENSF1,solar_utility,operating,121,100,,101.0812,,2049-12-31T14:00:00+10:00,2020-03-17T06:55:00+10:00,2026-08-01T16:20:00+10:00
BBATTERY,Bouldercombe,NEM,QLD1,-23.535251,150.489057,BBATTERY1,BBATTERY1,battery,operating,67,50,100,50.0482,,2041-12-31T14:00:00+10:00,2024-10-16T13:10:00+10:00,2026-08-01T16:20:00+10:00
BRAEMARA,Braemar,NEM,QLD1,-27.110488,150.905683,BRAEMAR2,BRAEMAR2,gas_ocgt,operating,168,188,,189.2,,2045-12-31T14:00:00+10:00,2006-06-02T12:25:00+10:00,2026-06-18T22:15:00+10:00
BRAEMARA,Braemar,NEM,QLD1,-27.110488,150.905683,BRAEMAR1,BRAEMAR1,gas_ocgt,operating,168,188,,189.1031,,2045-12-31T14:00:00+10:00,2006-05-10T11:00:00+10:00,2026-05-25T20:15:00+10:00
BRAEMARA,Braemar,NEM,QLD1,-27.110488,150.905683,BRAEMAR3,BRAEMAR3,gas_ocgt,operating,168,188,,188.2,,2045-12-31T14:00:00+10:00,2006-06-08T16:30:00+10:00,2026-07-09T20:30:00+10:00
B2PS,Braemar 2,NEM,QLD1,-27.112874,150.905442,BRAEMAR6,BRAEMAR6,gas_ocgt,operating,173,173,,174.1578,,2048-12-31T14:00:00+10:00,2009-04-07T15:35:00+10:00,2026-07-27T20:15:00+10:00
B2PS,Braemar 2,NEM,QLD1,-27.112874,150.905442,BRAEMAR7,BRAEMAR7,gas_ocgt,operating,173,173,,174.7016,,2048-12-31T14:00:00+10:00,2009-04-25T09:50:00+10:00,2026-08-01T16:20:00+10:00
B2PS,Braemar 2,NEM,QLD1,-27.112874,150.905442,BRAEMAR5,BRAEMAR5,gas_ocgt,operating,173,173,,174.2787,,2048-12-31T14:00:00+10:00,2009-03-27T16:35:00+10:00,2026-08-01T16:20:00+10:00
